Unnamed: 0,IMDb_id,Title,Year,Genre,Synopsis
0,3605418,Knock Knock,2015,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
1,95182,The Frog Prince,1986,"Drama, Family, Fantasy","Children's musical based on Grimm's fairy tale of The Frog-King. A young girl learns how to be a good friend and princess with the help of a ""tall frog."""
2,9100054,The Lost Daughter,2021,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.
3,6896536,Foxtrot,2017,Drama,A troubled family must face the facts when something goes terribly wrong at their son's desolate military post.
4,90859,Cobra,1986,"Action, Crime, Thriller",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.
5,108350,Night Terrors,1993,Horror,A woman visiting her father in Egypt becomes involved with Marquis De Sade's descendant and his terrifying cult.
6,5022872,Blush,2015,"Comedy, Drama, Romance","Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends."
7,90927,The Delta Force,1986,"Action, Adventure, Drama","After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis."
8,6952960,The Kindergarten Teacher,2018,"Drama, Thriller",A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.
9,352994,Walk on Water,2004,"Drama, Mystery, Thriller","Following the suicide of his wife, an Israeli intelligence agent is assigned to befriend the grandchildren of a Nazi war criminal."
10,14556392,Image of Victory,2021,"Drama, History, War","Inspired by true events in 1948. Hassanin, an Egyptian filmmaker, is tasked with documenting a raid on the isolated kibbutz Nitzanim. When the kibbutz learns of the impending army raid, Mira, a young but valiant mother, is forced to reckon with the true cost of war and make an impossible choice."
11,476643,The Bubble,2006,"Comedy, Drama, Romance","""The Bubble"" is the story of a group of young people who live in Tel Aviv, Israel. The movie follows the group's difficulties of living in Israel's reality. Their routine breaks when a young Palestinian man enters their lives."
12,1226753,The Debt,2010,"Drama, Thriller","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them."
13,367082,Fateless,2005,"Drama, Romance, War","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish."
14,3454424,Where Is Anne Frank,2021,"Animation, Drama, Family","The film follows the journey of Kitty, the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager, Kitty wakes up in the near future in Anne Frank's house in Amsterdam and embarks on a journey to find Anne, who she believes is still alive, in today's Europe. While the young girl is shocked by the modern world, she also comes across Anne's legacy."
15,3062880,Gett,2014,Drama,"After a lukewarm marriage of over twenty years, a woman appeals to her husband's compassion to obtain the desirable divorce document in front of a court, which proves to be more challenging than she would expect."
16,5968274,The Angel,2018,"Action, Biography, Drama","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage."
17,6333086,Menashe,2017,Drama,"Within Brooklyn's ultra-orthodox Jewish community, a widower battles for custody of his son. A tender drama performed entirely in Yiddish, the film intimately explores the nature of faith and the price of parenthood."
18,1198153,The Assassin Next Door,2009,"Action, Drama, Thriller",A woman forced to work for the Russian Mafia as an assassin agrees to help her next-door neighbor kill her abusive husband.
19,1135989,A Tale of Love and Darkness,2015,"Biography, Drama, History","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live."
20,7698982,Kiss Me Before It Blows Up,2020,"Comedy, Romance","A subversive love story between clashing cultures and families, KISS ME BEFORE IT BLOWS UP is a romantic misadventure crossing all borders. When two generations of Israeli women fall for a German woman and an Palestinian man, chaos follows. What happens with lovers who don't fit but do belong together?"
21,81459,Schizoid,1980,"Drama, Horror, Mystery","An advice columnist in the midst of getting a divorce begins receiving threatening notes from an anonymous stalker. Meanwhile, members of her group therapy session are being murdered by an unknown assailant."
22,21158522,Ole LaRosh,2022,Comedy,"""Ha'rutz Ha'Kibud"" is Israel's best Pop group, but one of them speaks out against the IDF, and everything changes. They needs to draft in order to be popular again and by doing so they will need to understand the power they have together."
