Title,Year,Genre,Synopsis,IMDb id
The Lost Daughter,NA,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,9100054
Knock Knock,NA,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",3605418
Cobra,NA,"Action, Crime, Thriller",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,0090859
The Delta Force,NA,"Action, Adventure, Drama","After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.",0090927
The Kindergarten Teacher,NA,"Drama, Thriller",A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,6952960
Where Is Anne Frank,NA,"Animation, Drama, Family","The film follows the journey of Kitty, the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager, Kitty wakes up in the near future in Anne Frank's house in Amsterdam ...                See full summary »",3454424
The Debt,NA,"Drama, Thriller","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.",1226753
Schizoid,NA,"Drama, Horror, Mystery","An advice columnist in the midst of getting a divorce begins receiving threatening notes from an anonymous stalker. Meanwhile, members of her group therapy session are being murdered by an unknown assailant.",0081459
The Swimmer,NA,"Drama, Sport","Sees the discriminative tendencies in sports against LGBTQ people, and how a sportsman learns to accept and love himself despite that.",15041866
Holy Lands,NA,"Comedy, Drama","Harry Rosenmerck, an Ashkenazi Jewish American cardiologist, left everything to become a pig farmer in the Holy Land.",6383494
Jeruzalem,NA,"Horror, Sci-Fi, Thriller","When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon them.",4552524
The Angel,NA,"Action, Biography, Drama","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",5968274
The Cakemaker,NA,"Drama, Romance",A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.,4830786
The Operative,NA,"Action, Drama, Mystery",A woman is recruited by the Mossad to work undercover in Tehran.,8000718
Allan Quatermain and the Lost City of Gold,NA,"Action, Adventure, Comedy","Allan Quatermain once again teams up with Jesse Huston where the discovery of a mysterious old gold piece sends Quatermain looking for his long-lost brother, missing in the wilds of Africa after seeking a lost white race.",0092534
A Tale of Love and Darkness,NA,"Biography, Drama, History","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live.",1135989
The Congress,NA,"Animation, Drama, Sci-Fi","An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.",1821641
Maria's Lovers,NA,"Drama, Romance","After spending the last of WWII in a brutal Japanese POW camp leaving him with nightmares, Ivan returns home to Pennsylvania for his childhood friend, Maria. But he has rivals for her love.",0087682
All Eyes Off Me,NA,"Comedy, Drama","Danny is pregnant by Max but she doesn't get around to telling him at a party. Meanwhile, Max is busy trying out his girlfriend Avishag's sexual fantasies with her.",14043818
The Slut,NA,"Drama, Romance","Tamar, a beautiful young woman, lives alone with her two daughters. She can't restrain her sexual appetite and gives herself to several men of the village.",1546421
Sublet,NA,"Comedy, Drama, Romance",A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.,9733388
Out in the Dark,NA,"Crime, Drama, Romance","A drama centered on the love affair between two men on opposite sides of the Mid-East conflict: Palestinian student Nimer and Roy, an Israeli lawyer.",2318625
Plan A,NA,"Drama, Thriller","In 1945, a group of Jewish holocaust survivors planned to poison the water system in Germany. The film tells the dangerous and bold secret-operation which was called - Plan A.",5448338
June Zero,NA,"Drama, History","This thrilling yet, at its core, empathetic and humanist film looks at the infamous trial of Adolf Eichmann, the architect of the mass extermination of Jews during the Second World War. ...                See full summary »",18834372
Iron Eagle II,NA,"Action, Drama, Romance",A joint U.S.- Soviet strike force is assembled to wipe out a nuclear base in an outlaw nation that plans to take the world hostage.,0095382
Lemon Popsicle,NA,"Comedy, Drama, Romance","Three friends live their lives in the 1950s, each searching for someone to love.",0079118
