,Title,Year,Genre,Synopsis,IMDb id
0,The Lost Daughter,2021,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,9100054
1,Knock Knock,2015,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",3605418
2,Cobra,1986,"Action, Crime, Thriller",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,0090859
3,The Delta Force,1986,"Action, Adventure, Drama","After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.",0090927
4,The Kindergarten Teacher,2018,"Drama, Thriller",A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,6952960
5,Where Is Anne Frank,2021,Drama,NA,3454424
6,Children of the Steps,1984,Comedy,NA,0147732
7,Wanted: Four Legged Husband,1993,Drama,An allegorical drama about a woman who wakes up on the morning of the last day of her life and her family are able to accept it.,0107542
8,Consolation,2010,Fantasy,NA,1693784
9,The Immigrant,1991,Drama,NA,2831500
10,Without Home,1956,NA,NA,0133390
11,A Story of David: The Hunted,1960,Comedy,NA,0054342
12,Obsession,2011,Drama,NA,1969118
13,Burning Land,1984,NA,"Joshua Zamir lost his son Yaron, in the first Lebanon war in 1982. Since then he tries to help others to deal with their losses. Produced for the Israel Film Service and the Second channel for Radio and television in 1998.",0133338
14,Ze Lo Seret Studentim,1997,Drama,NA,0167507
15,The Auntie from Argentina,1984,"Family, Musical",NA,0143219
16,The Lullabay of US,,"Drama, Fantasy, Thriller","In a world suffered by the great war we all fear from, A soldier awakes wrapped in bandages and without any memory.",19843912
17,Good Intentions,1998,Drama,NA,0178518
18,Death Has No Friends,1970,"Fantasy, Family, Musical","A musical version of the classic story about a miller's daughter who receives help from a mischievous dwarf, then ends up over her head. Now, she and a mute servant girl may be the only hope for her baby son, John.",0179756
19,Dod Pompa,2000,Drama,NA,1899163
20,E.M.E.T,2009,"Comedy, Drama","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",1437813
21,Joker,1976,"Biography, Drama","A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem.",0148360
22,Writer's Block,2008,"Drama, Horror","During an outbreak of a deadly plague in Lithuania, a mystical woman must save her tight-knit Jewish community from a gang of ruffians led by a local landowner, but the entity she conjures to protect them is a far greater evil.",6428544
23,Under Western Eyes,1996,Drama,NA,0116857
24,Rumpelstiltskin,1987,Drama,NA,0093891
25,Rabies,2010,"Crime, Thriller","The murder of a mysterious woman unfolds the brutal story of an Israeli radical group, the tycoon they are hunting for and the crooked cops that are stuck in between.",1754000
26,Colombian Love,2004,Drama,NA,0358925
27,Dead End,2006,"Comedy, Drama",NA,0833438
28,Halakeh,2008,NA,NA,1311654
29,Another Shadow,1976,Drama,"Gidi ""the tall"" and Jako ""the short"", are two bums who colourfully paint the gray streets of Tel Aviv, trying to make some money and find a shelter.",1874415
30,And Then Something Happened,2013,Drama,NA,3139692
31,Synonyms,2019,"Drama, History, War",The film tells the story of the year before the Battle of the Kfar Etzion in 1948 and the story of the battle and the slaughter of the Jews was carried out by the Jordanian Legion and Arab rioters.,7016254
32,Hannah Arendt,2012,"Crime, Thriller","A psychological thriller set in Tel Aviv following an analytic female detective 's investigation into the disappearance of a teenage girl, as her chess-like maneuvers jeopardize the young brother's life, and her own mental state.",1674773
33,The Golem,2018,Drama,A family escapes from Iraq and forced to leave behind a baby. Years later they come to the conclusion that she is dead. But what if not?,8329290
34,Kobi V'Mali,1978,Drama,NA,0151234
35,Erich the First,1995,Drama,NA,0145766
36,Radical,2013,Drama,NA,3239954
37,Attraction,1988,NA,NA,0143345
38,The Man Who Flew in to Grab,1982,"Drama, Sport",Eitan is yesterday's football star waiting for a tomorrow. He is a man who has nothing left but guts consulting the prospects of having to find a new profession and having to face a loving woman who doesn't understand his problems.,0151079
39,Compromise,1996,"Drama, Romance","At first, they make love even if they are not in the same country. She's in Paris, he's in Tel Aviv. Time passes and over-communication kills their privacy. In the end, they fall in love for the first time.",0164501
40,A Pound a Piece,1963,Drama,"For Anat, music is everything. Having never been able to reach her father's musical standards, she rests her hopes on the child she's about to have. When the baby is born deaf, Anat succumbs to extreme measures to keep the dream alive.",0148659
41,Take Two,1972,Drama,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.",0069340
42,Love Letters from the War,2014,"Action, Drama, Thriller",A woman forced to work for the Russian Mafia as an assassin agrees to help her next-door neighbor kill her abusive husband.,4179400
43,A Great Light,,Drama,"Despite living together, Asia barely interacts with her daughter Vika. Their routine is shaken when Vika's health deteriorates rapidly. Asia must step in and become the mother Vika so desperately needs",6866920
44,Istahar,2017,"Action, Drama, Sci-Fi","After a massive earthquake destroys Los Angeles, a new order is formed. But disagreement among the ranks leads to more war and disruption, and The Last Patrol must bring order if there's to be any hope for the future.",6971276
45,Gabi Ben Yakar,1982,Drama,"A Jerusalem couple set off on a journey. Against a backdrop of beauty, belief and great violence, they begin a film of their lives.",0133785
46,Tomorrow's Yesterday,1964,"Comedy, Drama, Romance","Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends.",0136811
47,Yonatan and Tali,1953,"Drama, Romance, War","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.",5910264
48,Christmas in the Holy Land,1971,"Crime, Drama, Romance","Johnny wants to be a stock car racer one day. He meets a young, gay hustler in Vegas, who takes him to meet his friends/gang and his ""mom"", an ex hooker etc.",0245052
49,The Hero,1970,"Action, Comedy","After an American tech-billionaire is kidnapped in Israel, the Mossad rushes to save him while the CIA send their best agent to help out.",0068694
50,The End of Love,2019,"Comedy, Drama, Romance","""The Bubble"" is the story of a group of young people who live in Tel Aviv, Israel. The movie follows the group's difficulties of living in Israel's reality. Their routine breaks when a young Palestinian man enters their lives.",10850214
51,God of the Piano,2019,Drama,"After a lukewarm marriage of over twenty years, a woman appeals to her husband's compassion to obtain the desirable divorce document in front of a court, which proves to be more challenging than she would expect.",9647298
52,Dizengoff 99,1979,Drama,"While her mother is away from home, 12-year-old Adar's role-playing games with her stepfather move into dangerous territory. Seeking an escape, Adar finds Alan-an ethereal boy who joins her on a dark journey between reality and fantasy.",0079060
53,Sand Storm,2016,NA,NA,4365518
54,The Assassin Next Door,2009,"Crime, Drama",NA,1198153
55,Asia,2020,Comedy,A few seconds are devoted to giving this candid-camera movie a bit of a framework: prankster Yuda Barkan volunteers to show bright-eyed visitor Caroline Langford the foibles of the Israeli public.,10032266
