,Unnamed: 0,Title,Year,Genre,Synopsis,IMDb id,Wiki Title,Wiki Plot,Wiki Summary
0,0,The Lost Daughter,2021,"Comedy, Drama","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",9100054,The Lost Daughter,,"The Lost Daughter is a 2021 psychological drama film written and directed by Maggie Gyllenhaal in her feature directorial debut, based on the 2006 novel of the same name by Elena Ferrante. The film stars Olivia Colman, Dakota Johnson, Jessie Buckley, Paul Mescal, Dagmara Domińczyk, Jack Farthing, Oliver Jackson-Cohen, with Peter Sarsgaard, and Ed Harris. Colman also serves as an executive producer. 
The Lost Daughter had its world premiere at the 78th Venice International Film Festival on September 3, 2021, where Gyllenhaal won the Golden Osella Award for Best Screenplay. It began a theatrical limited release in the United States on December 17, 2021, prior to streaming on Netflix on December 31. The film was acclaimed by critics, and at the 94th Academy Awards received three nominations: Best Actress (Colman), Best Supporting Actress (Buckley), and Best Adapted Screenplay."
1,1,A Story of David,1960,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,54342,Pollyanna (1960 film),,"Pollyanna is a 1960 feature film starring child actress Hayley Mills, Jane Wyman, Karl Malden, and Richard Egan in a story about a cheerful orphan changing the outlook of a small town. The film was written and directed by David Swift, based on the 1913 novel Pollyanna by Eleanor H. Porter. The film won Hayley Mills an Academy Juvenile Award. It was the last film of actor Adolphe Menjou.
Pollyanna was Hayley Mills' first film in the series of six for Disney and the directorial debut of David Swift.

"
2,2,Rumpelstiltskin,1987,Drama,"King Saul of Israel is jealous of the fame and adoration of David, who long ago slew Goliath and brought victory to Saul's armies. Now Saul, egged on by his Edomite counselor Doeg, attempts to have David killed. Saul's son, and David's best friend, Jonathan, conspires to help David, who is reluctant to fight back against his own people the Israelites.",93891,Rumpelstiltskin (1987 film),,"Rumpelstiltskin is a 1987 musical fantasy film, based on the fairy tale by the Brothers Grimm.  In the United States, it was the first installment of Cannon Films' Movie Tales series.

"
3,3,Bloomfield,1970,Drama,"Secrets, lies, surprises and more are explored in this rich selection of gay short films from Israel.",68694,Bloomfield (film),,"Bloomfield (released in the United States as The Hero) is a 1971 British-Israeli drama film directed by Richard Harris  and Uri Zohar. It was entered into the 21st Berlin International Film Festival.The soundtrack of the film composed and produced by Johnny Harris includes a short version of ""The Loner"", a song co-written by Maurice Gibb and Lulu's brother Billy Lawrie. Johnny Harris was MD for Lulu at the time this song was composed and recorded in 1969. It was released on a Pye Records single in 1972 performed by The Bloomfields when the film was finally released in Great Britain.  The soundtrack also includes 3 tracks by Heads Hands & Feet.

"
4,4,Synonymes,2019,"Drama, Sport",Eitan is yesterday's football star waiting for a tomorrow. He is a man who has nothing left but guts consulting the prospects of having to find a new profession and having to face a loving woman who doesn't understand his problems.,7016254,Synonyms (film),,"Synonyms (French: Synonymes) is a 2019 international co-produced drama film directed by Nadav Lapid, from a screenplay by Lapid and Haim Lapid. It stars Tom Mercier, Quentin Dolmaire and Louise Chevillotte. It had its world premiere at the Berlin International Film Festival on 13 February 2019, where it won the Golden Bear, and the FIPRESCI Award (Competition). It was released in Israel on 28 February 2019, in France on 27 March 2019, by SBS Distribution and in Germany on 5 September 2019, by Grand Film. The film received positive reviews from critics.

"
5,5,The Israeli Boys,2020,"Fantasy, Family, Musical","A musical version of the classic story about a miller's daughter who receives help from a mischievous dwarf, then ends up over her head. Now, she and a mute servant girl may be the only hope for her baby son, John.",11680668,To All the Boys I've Loved Before (film),,"To All the Boys I've Loved Before is a 2018 American teen romantic comedy film directed by Susan Johnson and written by Sofia Alvarez. The film stars Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Madeleine Arthur, Emilija Baranac, Israel Broussard and John Corbett. The movie is based on Jenny Han's 2014 novel of the same name, and was released by Netflix on August 17, 2018.
It is the first installment in the To All the Boys film series and followed by two sequels, To All the Boys: P.S. I Still Love You, released on February 12, 2020, and To All the Boys: Always and Forever on February 12, 2021. It received generally favorable reviews from critics, who praised the cast.

"
6,6,Hannah Arendt,2012,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",1674773,Hannah Arendt (film),,"Hannah Arendt is a 2012 biographical drama film directed by Margarethe von Trotta and starring Barbara Sukowa. An international co-production from Germany, Luxembourg and France, the film centers on the life of German-Jewish philosopher and political theorist Hannah Arendt. The film, distributed by Zeitgeist Films in the United States, opened theatrically on 29 May 2013.German director von Trotta's film centers on Arendt's response to the 1961 trial of Nazi Adolf Eichmann, which she covered for The New Yorker. Her writing on the trial became controversial for its depiction of both Eichmann and the Jewish councils, and for its introduction of Arendt's now-famous concept of ""the banality of evil"".

"
7,7,Knock Knock,2015,Drama,A young Israeli woman from a wealthy family volunteers at a soup kitchen in Tel Aviv.,3605418,Knock Knock (2015 film),,"Knock Knock is a 2015 American psychological thriller film directed by Eli Roth, who also co-wrote the script with Guillermo Amoedo and Nicolás López. The film stars Keanu Reeves, Lorenza Izzo and Ana de Armas. The film was released on October 9, 2015, by Lionsgate Premiere. Knock Knock is a remake of the 1977 film Death Game, which was directed by Peter S. Traynor and starred Sondra Locke and Colleen Camp. All three individuals had a hand in the production of Knock Knock, while Camp also had a cameo in the newer film.

"
8,8,Japan Japan,2007,Drama,"The movie tells the story of Imri, who at 19 goes to live in Tel- Aviv, but dreams of moving to Japan. Through his relationships and encounters and in diverse cinematic tools, we are introduced to the young man's life. An exploration of living in the exotic city of Tel Aviv is presented through a hero who is himself in the midst of exploring his own choice of an exotic place. A unique correlation is formed between the hero's misconception of Japan and ours of him. The movie was constructed by both improvised and pre-scripted scenes, as required by the nature of each scene.",1090327,Cinema of Japan,,"The cinema of Japan (日本映画, Nihon eiga, also known domestically as 邦画 hōga, ""domestic cinema"") has a history that spans more than 100 years. Japan has one of the oldest and largest film industries in the world; as of 2021, it was the fourth largest by number of feature films produced. In 2011 Japan produced 411 feature films that earned 54.9% of a box office total of US$2.338 billion. Films have been produced in Japan since 1897, when the first foreign cameramen arrived.
Tokyo Story (1953) ranked number three in Sight & Sound critics' list of the 100 greatest films of all time. Tokyo Story also topped the 2012 Sight & Sound directors' poll of The Top 50 Greatest Films of All Time, dethroning Citizen Kane, while Akira Kurosawa's Seven Samurai (1954) was voted the greatest foreign-language film of all time in BBC's 2018 poll of 209 critics in 43 countries. Japan has won the Academy Award for the Best International Feature Film four times, more than any other Asian country.Japan's Big Four film studios are Toho, Toei, Shochiku and Kadokawa, which are the only members of the Motion Picture Producers Association of Japan (MPPAJ). The annual Japan Academy Film Prize hosted by the Nippon Academy-shō Association is considered to be the Japanese equivalent of the Academy Awards."
9,9,Shake Your Cares Away,2021,Horror,"A brother and sister who run away from home find sanctuary in a deserted nature reserve. When the sister falls into the trap of a psychopathic killer, the brother sets out on a race against time to find help. In a twist of fate the rescue of the sister becomes inadvertently intertwined with the lives of a group of young tennis players, a ranger and his dog, as well as a team of policemen.",5851558,Elvis (2022 film),,"Elvis is a 2022 biographical musical film directed by Baz Luhrmann, who co-wrote the screenplay with Sam Bromell, Craig Pearce, and Jeremy Doner. The film follows the life of rock and roll icon, singer, and actor Elvis Presley, told from the perspective of his manager, Colonel Tom Parker. It stars Austin Butler in the title role with Tom Hanks as Parker, and Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham, Kodi Smit-McPhee, and Luke Bracey in supporting roles. 
It was announced in 2014 that Luhrmann would be directing an Elvis Presley biopic, though the project was not officially announced until March 2019. Butler was cast in the title role that July, beating out several high-profile actors. Filming began in Luhrmann's native Australia in January 2020, but paused from March through September following the onset of the COVID-19 pandemic. Filming wrapped over a year after it began, in March 2021.
Elvis premiered at the Cannes Film Festival on May 25, 2022, and was released in Australia on June 23, 2022, and in the United States the following day. It has grossed over $189 million worldwide and has received positive reviews from critics, with praise for Butler's performance and the musical sequences."
10,10,À coeur battant,2019,"Drama, Romance","At first, they make love even if they are not in the same country. She's in Paris, he's in Tel Aviv. Time passes and over-communication kills their privacy. In the end, they fall in love for the first time.",10850214,Anne Parillaud,,"Anne Parillaud (French pronunciation: ​[an paʁijo]; born 6 May 1960) is a French actress who has been active since 1977. She is best known internationally for playing the title character in Luc Besson's film La Femme Nikita.

"
11,11,Kalevet,2010,"Biography, Drama","A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem.",1754000,Rabies (2010 film),,"Rabies (Hebrew: כלבת, Kalevet) is a 2010 Israeli film written and directed by Aharon Keshales and Navot Papushado. It was marketed as ""the first feature-length Israeli horror film"".

"
12,12,Cobra,1986,Drama,"From Germany to Israel, Sweden to Brazil, girls and women face up to their wants and desires - their passions past, and lovers present. A mix of laughter, tears and warm inside feels, come and enjoy these tales and fall in love with the stories upon her lips.",90859,Cobra (1986 film),,"Cobra is a 1986 American action film directed by George P. Cosmatos and written by Sylvester Stallone, who also starred in the title role. The film co-stars Reni Santoni, Brigitte Nielsen and Andrew Robinson. It is the first film in which Brian Thompson plays a prominent role. The film was loosely based on the novel Fair Game by Paula Gosling, which was later filmed under that title in 1995. However, Stallone's screenplay was originally conceived from ideas he had during pre-production of Beverly Hills Cop, whose screenplay he heavily revised. He had wanted to make Beverly Hills Cop a less comedic and more action-oriented film, which the studio rejected as being far too expensive. When he left that project, Eddie Murphy was brought in to play the lead role.The film received negative reviews, with much criticism focused on the overuse of genre tropes and excessive violence. It debuted at the number one spot on the U.S. box office, and earned $49 million in the US and a total of $160 million worldwide. It has come to be considered a cult classic.

"
13,13,The Sell Out,1976,Comedy,Gote and Eli are two aging friends who don't want to age. Gote is a lifeguard who's fighting peepers on the Tel-Aviv beach. Eli is a guitar player who dreams of building a night club in Altman's restaurant.,75188,The Sell Out (film),,"The Sell Out is a 1976 film directed by Peter Collinson that was filmed in Israel. It stars Oliver Reed and Richard Widmark.

"
14,14,Metzitzim,1972,"Action, Drama, Thriller","While vacationing in Lebanon, a former secret agent finds he has been marked for assassination.",68941,Metzitzim,,"Metzitzim (Hebrew: מציצים, English: Peeping Toms) is a 1972 Israeli comedy film that has become a cult film. It was entered into the 23rd Berlin International Film Festival.The film was directed by Uri Zohar and starred Arik Einstein and Zohar himself. The cinematographer was Adam Greenberg.
In 2014, on season two of the show Orly and Guy Come Back With an Answer (אורלי וגיא חוזרים עם תשובה), suspicions (totally unsubstantiated) were raised that during the production of the movie there had been abuses and sexual harassment against actresses. In addition, Mona Zilberstein's cousin claimed (without providing any real proof, except the look on her face during the rape scene in the movie) that the rape scene (after Gutte, Uri Zohar, washed Mona and took her to bed) was in fact a rape. This and other sexual harassment in her life might or might not have led her to use drugs until her death from an overdose.

"
15,15,Upon Her Lips: Pure Feels,2021,"Drama, Horror","During an outbreak of a deadly plague in Lithuania, a mystical woman must save her tight-knit Jewish community from a gang of ruffians led by a local landowner, but the entity she conjures to protect them is a far greater evil.",14406360,Pure Country,,"Pure Country is a 1992 American drama film directed by Christopher Cain and starring George Strait in his acting debut, with Lesley Ann Warren, Isabel Glasser and Kyle Chandler. The film, while profitable with box office receipts of over $15 million against a $10 million budget,  fell far short of its expectations. However, the soundtrack was a critical success and, to date, is Strait's best selling album. It was followed by two direct-to-video sequels, Pure Country 2: The Gift (2010) and Pure Country: Pure Heart (2017), with the former also being directed by Cain. This movie marked Rory Calhoun's last film appearance.

"
16,16,Elohe hapsanter,2019,Drama,"For Anat, music is everything. Having never been able to reach her father's musical standards, she rests her hopes on the child she's about to have. When the baby is born deaf, Anat succumbs to extreme measures to keep the dream alive.",9647298,NA,NA,NA
17,17,The Golem,2018,Western,Tom's parents are killed by Mexican outlaws after their leader (Van Cleef) rapes his mother as he watched. He sets out to exact revenge and is ultimately helped by a successful gold prospector who has been robbed by the same outlaws.,8329290,The Golem (2018 film),,"The Golem is a 2018 Israeli period supernatural horror film directed by Doron and Yoav Paz, and written by Ariel Cohen. It stars Hani Furstenberg, Ishai Golan, Brynie Furstenberg, and Konstantin Anikienko.
The Golem is based on the Jewish legend of the same name, and the film's creators felt that the legend, which they referred to as ""the Jewish Frankenstein"", had never been properly developed into a film since the 1951 version The Emperor and the Golem. Originally it was intended to retain the original appearance of the title character for the film, ""In the beginning, when we just started on the idea for the movie, we tried to tell the story as it is. That is with the real giant creature made of mud and clay,"". The idea was soon abandoned, however, after realizing that it would not fit with the story they wanted to convey, deciding instead to reimagine the classic tale for a more contemporary audience while staying true to its original themes. Principal photography for The Golem commenced in the summer of 2017 near Kyiv, Ukraine, for a month and a half, with the majority of the film was shot in an isolated outdoor set, ""in the middle of nowhere"".
On April 24, 2018; it was announced that Dread Central had acquired distribution rights to The Golem as their first original production under their ""Dread Central Presents"" banner, with Epic Pictures serving as executive producers for a limited theatrical release slated for February 2019. The film later made its official premiere at the London FrightFest Film Festival on August 27, 2018. The film would later be released on DVD, Blu-ray, and Video-on-Demand on February 5, 2019. The Golem received positive reviews from critics, who praised Furstenberg's performance, cinematography, and atmosphere; and was nominated for several awards by the Israeli Film Academy.

"
18,18,Kid Vengeance,1977,"Drama, Romance","For Rami, all is for the best in this best of all possible worlds, as long as he keeps to himself. But when his longtime lover leaves him to marry a woman and his best friends drift away, he comes face to face with the harsh realities of life as a gay man in Egypt. Against the backdrop of the choreographed crackdown on gay men and the notorious Queen Boat arrests of 2001, he plunges into a world of loveless friendships and spirals downwards to his ultimate downfall.",76261,Park Chan-wook,,"Park Chan-wook (Korean: 박찬욱 Korean pronunciation: [pak̚t͡ɕʰanuk̚ ]; born August 23, 1963) is a South Korean film director, screenwriter, producer, and former film critic. Park is best known for his films Joint Security Area (2000), Thirst (2009), The Handmaiden (2016), Decision to Leave (2022) and what has become known as The Vengeance Trilogy, consisting of Sympathy for Mr. Vengeance (2002), Oldboy (2003) and Lady Vengeance (2005).
He is also known for his English-language works Stoker (2013) and The Little Drummer Girl (2018), a television miniseries based on the novel of the same name by John le Carré.
His films have gained notoriety for their cinematography and framing, black humor and often brutal subject matters.

"
19,19,Mita Tova,2014,"Comedy, Drama, Romance","Residents of a retirement home build a machine for self-euthanasia in order to help their terminally ill friend, though they are faced with a series of dilemmas when rumors of the machine begin to spread.",3163304,NA,NA,NA
20,20,Toul omry,2008,"Comedy, Drama, Romance","In the easy-going, sexually-liberated 1970's Tel Aviv, three young friends, struggling filmmaker Nati, his impressionable girlfriend Ossi and his geeky friend Mushon, move in together in a small apartment in Dizengoff Street number 99. By day, they work a boring desk office job but by night the city is their playground. Their overall goal is to make their way into the commercial movie making business, but harsh realities and romances often sidetrack them. Their fourth friend and Nati's older other girlfriend is aspiring musician, Miri.",1334617,All My Life (2008 film),,"All My Life (Egyptian Arabic: طول عمري; translit. Toul Omry; French: Toute ma vie), is a 2008 Egyptian film by Maher Sabry. It is noted as being the first film to handle the subject of male homosexuality and the status of homosexuals in Egypt. While a work of fiction, Sabry made efforts to use real-life influences from his own experiences to the 2001 arrests of the Cairo 52 to keep the portrayal of conditions for homosexuals in Egypt accurate.

"
21,21,Sufat Chol,2016,"Action, Crime, Thriller",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,4365518,Sand Storm (2016 film),,"Sand Storm (Hebrew: סופת חול Sufat Chol) is a 2016 Israeli drama film directed by Elite Zexer. It was shown in the Panorama section at the 66th Berlin International Film Festival. At the 2016 Sundance Film Festival it won the Grand Jury Prize in the World Cinema Dramatic section. It won the Best Film Award at the Ophir Awards. It was selected as the Israeli entry for the Best Foreign Language Film at the 89th Academy Awards but it was not nominated.The film is set in a Bedouin village in southern Israel and is Elite Zexer's directorial debut.

"
22,22,Dizengoff 99,1979,Drama,"While trying to escape from the Soviet Union, a Soviet Jewish man is locked in a mental institution, where he gets brutally tortured for several years. After his release, he's able to defect to Israel, and gets the chance to join the Israeli Army, even though he's not in good condition to fight. His next plan is to seek revenge against the Russians, but first he needs to go to another conflict on the Syrian border, far from where his enemies are.",79060,Dizengoff 99,,"Dizengoff 99 (Hebrew: דיזנגוף 99) is a 1979 Israeli film starring Gali Atari, Gidi Gov, Meir Suissa, and Anat Atzmon. The film, considered a cult classic, describes the way of life around Dizengoff Street and how it changed over the years. Filmed in Tel Aviv, it was released in Israel and the United States as ""Dizengoff 99,"" and in West Germany as ""Three Under the Roof"" (German: Drei unter'm Dach).

"
23,23,Madman,1978,"Comedy, Family, Musical","In Europe several several centuries ago, a group of prisoners about to be executed are freed as part of the celebration of the upcoming marriage of the emperor's daughter, Princess Gilda, to a very rich prince from another country. Among these newly free men are an uncle-and-nephew con artist team, who continue their usual work to the point where they end up in the emperor's own palace, posing as tailors. Taking advantage of the emperor's extreme love for new and newer clothing as a symbol of his wealth, the fake tailors get him to hire them to make clothes (in time for the wedding) that are invisible to all who are either unfit for their position, or very stupid. Of course, they wouldn't make anything at all, but instead steal all of the material (many jewels) and leave the emperor and all the people thinking that they are unfit or stupid. Things start to get more difficult as neither the emperor nor Gilda like the prince she is engaged to, she and the nephew fall in love, the nephew has misgivings about being a con artist, and the emperor is constantly checking on the progress of his tailors, who are watched over by a very suspicious guard.",77886,Madman (film),,"Madman (originally titled Madman: The Legend Lives) is a 1982 American slasher film written and directed by Joe Giannone and starring Gaylen Ross and Paul Ehlers. The plot focuses on an axe-wielding murderer named Madman Marz who, after accidentally summoned by a group of campers during a campfire tale, begins to stalk and murder the young adults.
Originally based on the upstate New York urban legend of the Cropsey maniac, the film was conceived by Giannone and producer Gary Sales, both first-time feature filmmakers who had met in college. Their initial premise and main antagonist was changed last-minute due to conflicts with The Burning (1981), which featured the Cropsey villain and was in production at the same time.
Madman was released theatrically in January 1982 by Jensen Farley Pictures, and received largely unfavorable reviews from critics. Though not prosecuted for obscenity nor officially listed as a video nasty, the film was seized by police forces in Hampshire, England during the video nasty panic.
In the years since its release, Madman has achieved a cult following. In 2017, it was named one of the greatest slasher films of all time by Complex magazine.

"
24,24,The Emperor's New Clothes,1987,"Drama, Romance","Three unmarried aristocratic Christian sisters from Ramallah have shut themselves in their villa clinging desperately to their former glory, until their orphan niece, Badia, walks into their life and turns their world upside down",142260,The Emperor's New Clothes,,"""The Emperor's New Clothes"" (Danish: Kejserens nye klæder [ˈkʰɑjsɐns ˈnyˀə ˈkʰleːɐ̯]) is a literary folktale written by Danish author Hans Christian Andersen, about a vain emperor who gets exposed before his subjects. The tale has been translated into over 100 languages.""The Emperor's New Clothes"" was first published with ""The Little Mermaid"" in Copenhagen, by C. A. Reitzel, on 7 April 1837, as the third and final installment of Andersen's Fairy Tales Told for Children. The tale has been adapted to various media, and the story's title, the phrase ""the Emperor has no clothes"", and variations thereof have been adopted for use in numerous other works and as an idiom."
25,25,Villa Touma,2014,"Comedy, Drama",Benny Furman is a basketball headcoach who can't decide what he realy wants.,3837950,2014 Toronto International Film Festival,,"The 39th annual Toronto International Film Festival, the 39th event in the Toronto International Film Festival series,  was held in Canada from 4–14 September 2014. David Dobkin's film The Judge, starring Robert Downey Jr. and Robert Duvall was the opening night film. A Little Chaos, a British period drama directed by Alan Rickman and starring Kate Winslet closed the festival. More films for each section were announced on 12 August, with the line-up completed on 19 August. A total of 393 films were shown, including 143 world premieres. The first Friday was dubbed ""Bill Murray Day"", as festival organisers dedicated a day to the actor by screening a select number of his films for free.

"
26,26,Einayim G'dolot,1974,Drama,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.",121237,List of Israeli films of 1974,,"A list of films produced by the Israeli film industry in 1974.

"
27,27,The Delta Force,1986,"Action, Adventure, Drama","After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.",90927,The Delta Force,,"The Delta Force is a 1986 American action film starring Chuck Norris and Lee Marvin (in his final film appearance) as leaders of an elite group of Special Operations Forces personnel based on the real life U.S. Army Delta Force unit. Directed, co-written and co-produced by Menahem Golan, the film features Martin Balsam, Joey Bishop, Robert Vaughn, Steve James, Robert Forster, Shelley Winters, George Kennedy, and an uncredited Liam Neeson in an early role. It is the first installment in The Delta Force film series. Two sequels were produced, entitled Delta Force 2: The Colombian Connection and the direct-to-video Delta Force 3: The Killing Game. The Delta Force was ""inspired"" by the hijacking of TWA Flight 847.

"
